input_text;target_text;path
rināṣāpravṛtyaivanirvāhyiḥ.sāmarthyasyaviśiṣṭekārthapretipādakatvalakṣaṇaikāthībhāvūpatvāt.divo..11;ribhāṣāpravṛtyaivanirvāddhaḥ.sāmarthyasyaviśiṣṭaikārthapratipādakatvalakṣaṇaikārthībhāvarūpatvāt.divo.11;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/11.jpg
tyasamuccayonirasanīyaḥ.sacanyāyaḥsubaṃtaïvatiṅaṃḥtepitulyaḥ|pratyayātheprakṛtparthasyaviśeṣapatvaviśoṣāt||;tyasamuccayonirasanīyaḥ.sacanyāyaḥsubaṃtaïvatiṅaṃtepitulyaḥ.pratyayārtheprakṛtyarthasyaviśeṣaṇatvāviśeṣāt..;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/12.jpg
yāgakyakaraṇatvenabhāvanāyāmanvayakaraṇātarayāgāvyavachedāvaśyaṃbhāvākkathasomaspabhāvanārayāṃkaraṇatvenānvayaḥ.;yogasyakaraṇatvenabhāvanāyāmanvayekaraṇātarayogavyavachedāvaśyaṃbhāvātkathaṃsomasyabhāvanāyāṃkareṇatvenānvayaḥ.;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/13.jpg
pratkatasaptamāghādiṣusomasyetikartavyatākoṭipraveśakathanādyāgopakārakaṃtvasyaivetikartavyatātvarūpatetiyāgaṇa;pratyutasaptamāghādiṣusomasyetikartavyatākoṭipraveśakathanādyāgopakārakatvasyaivetikartavyatātvarūpatetiyāgae;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/14.jpg
vatadanvayanirvāhārthamatvarthalakṣaṇāsvīkāryā...patisaptamīkakṣyā...prāthamikakriyānvaḥyabaudhotaraṃjāyamāṃ;vatadanvayanirvāhārthaṃmatvarthalakṣaṇāsvīkāryā....ittisaptamīkakṣyā....prāthamikakriyānvayabaudhotaraṃjāyamā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/15.jpg
nasyapārṣikayāgānvayabaudhasyaśāṣdatvesarvamidamupapaghata.tadevatunasaṃchaghaṭate.sakṛduccaritaḥśabdaḥsakṛdarthaṃgama;nasyapārṣṭikayāgānvayabaudhasyaśābdatvesarvamidamupapadyate.tadevatunasaṃghaṭate.sakṛduccaritaḥśabdaḥsakṛdarthaṃgama;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/16.jpg
yatītityuptatyāprāthāmikakriyānvayavodhenajanitānvayabodhatvenanirākākṣatayāpār_ikānvayabocaṃjananāsāma;yatītivyuptatyāprāthamikakriyānvayabodhenajanitānvayabodhatvenanirākāṃkṣatayāpārṣṭhikānvayabodhaṃjananāsāma;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/17.jpg
rathyāt..anyānvitatvainopaschitasyārthasyānyapenvanerākāṃkṣyāccā.anyaṃthāgrahasaṃmāṣṭītyāśogahaikatvayorubhayoḥ;rthyāt..anyānvitatvenopasthitasyārthasyānyāyenvanairākāṃkṣyācca.anyathāgrahaṃsaṃmārṣṭītyāśaigrahaikatvayorubhayoḥ;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/18.jpg
kārakaśrut_āsaṃmārgabhāvanānvayaḥpaścāhārṭhikānvayaïtivaktuṃśakyakayāgrahekatvāderapirivakṣapattaḥ..nacatatraprā;kārakaśrutyāsaṃmārgabhāvanānvayaḥpaścāptārṣṭhikānvayaïtivaktuṃśakyatayāgrahaikatvāderapirivakṣāpatteḥ..nacatatraprā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/19.jpg
thamikabodhaevanasaṃbhavati..vākyabhedaprasattyekatbhāvanāyāmuddeścadvayāsamāveśātkutaḥpāṣṭhikānvayaḥkuta;thamikabodhaevanasaṃbhavati..vākyabhedaprasaktyaikatrabhāvanāyāmuddeśyadvayāsamāveśātkutaḥpārṣṭhikānvayaḥkuta;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/20.jpg
starāṃcavivakṣetiyuktaṃ.sakṛducaritanyāyānaṃgīkārevākyabhedasyaivādoṣāt.tādaśavyuṃttativirodhasyevatatra;starāṃcavivakṣetiyuktaṃ..sakṛduccaritanyāyānaṃgīkārevākyabhedasyaivādoṣāt..tādṛśavyuptativirodhasyaivatatra;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/21.jpg
damakatābījatvāt|yadāhurgrahaikatvādhikaraṇevārttikakṛtaḥpunaruncāryamāṇaśrasamāmnāyāvdehischitaḥ.prasaya;dūṣakatābījatvāt..yadāhurgrahaikatvādhikaraṇevārtikakṛtaḥpunaruccāryamāṇaścasamāmnāyābdahisthitaḥ.pratya;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/22.jpg
hatvaviśeṣitatvenopasthitepinīlācavadarśanāt.kārakāṇaṃkriyayaivānvayaïtivyaptatterekaviśeṣaṇenānvitā;ṭatvaviśeṣitatvenopasthitepināṃlānvayadarśanātkā..kārakāṇāṃkriyayaivānvayaïtivyutpatterekaviśeṣaṇenānvitā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/23.jpg
yāayyākāṃkṣāśāṃtyabhāvasyacatacatvenatasyanirabādhatvāt.pratyatetaraviśeṣaṇatayāpasthitepadārthātarānvayaḥ;yāapyākāṃkṣāśāṃtyabhāvasyacataṃtratvenatasyanirābādhatvāt.pratyutetaraviśeṣaṇatayopasthitepadārthāṃtarānvayaḥ;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/24.jpg
syāvyuptannatvenabhāvenāviśeṣaṇeyāgekathasomavatonvayaḥ..anyathānityodyaṭaïtivākpasyāpinityatvavi;syāvyuptanmatvenabhāvanāviśeṣaṇeyāgekathaṃsomavatonvayaḥ..anyathānityodyaṭaïtivākyasyāpinityatvavi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/25.jpg
śiṣṭaghaṭatvavānayamitibodhajanakatvāpattiḥiṣyatevatatraghaṭatvenityatvānvayasidhyarthalakṣaṇayāmukhya;śiṣṭaghaṭatvavānayamitibodhajanakatvāpattiḥ.iṣyatecatatraghaṭatvenityatvānvayasidhyarthaṃlakṣaṇayāmukhya;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/26.jpg
viśeṣyatvenopasthitiḥmakalatāṃtrikaiḥ.kathamanyathātddhasyarājapuruṣaïtivākyasyāsādhatābhavanmatesaṃ;viśeṣyatvenopasthitiḥ.sakalatāṃtrikaiḥ.kathamanyathāṛddhasyarājapuruṣaïtivākyasyāsādhutābhavanmatesaṃ;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/27.jpg
gachatāṃ..nacabhavanmateguṇopapadematvarthalakṣaṇānaṃgīkāreṇadhātvartheanvayānaṃgīkārepināmopapadejyo;gachatāṃ..nacabhavanmateguṇopapadematvarthalakṣaṇānaṃgīkāreṇadhātvartheanvayānaṃgīkārepināmopapadejyo;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/28.jpg
tiṣṭomāderabhedenayāgaevānvayāvaśayeṃbhāvāditarāviśeṣaṇatvenopaschitaevapadārthāṃtarānvayaïtivyupta;tiṣṭomāderabhedenayāgaevānvayāvaśyaṃbhāvāditarāviśeṣaṇatvenopasthitaevapadārthāṃtarānvayaïtivyutpa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/29.jpg
t_ivirodhaïtivācyuṃ.asmanmateprā.thamikabodhenāmnāmapibhāvanāpāmevānvayāt.pārṣṭhikabodhaevā;ttivirodhaïtivācyaṃ..asmanmateprāthamikabodhenāmnāmapibhāvanāyāmevānvayāt.pārṣṭhikabodhaevā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/30.jpg
ruṇaikahāyanīnyāyenabhadasyavitareghaṇatvāt.|nanusaṃjñāśabdānāṃśabdaevārthonajātyādikamitiḍithā;ruṇaikahāyanīnyāyenabhedasyaviśeṣaṇatvāt..nanusaṃjñāśabdānāṃśabdaevārthonajātyādikamiti.ḍitthā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/31.jpg
diśabdeṣasarvaṃsaṃmataṃ..nahiśabdasyabhāvanāyāṃkaraṇatvaṃsaṃbhavatītyākārakatvātkathaṃtaṃtratadanvayaḥ..ya;diśabdeṣusarvasaṃmataṃ..nahiśabdasyabhāvanāyāṃkaraṇattvaṃsaṃbhavatītyākārakatvātkathaṃtatratadanvayaḥ..ya;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/32.jpg
dijyotiṣṭomapadavācyelakṣaṇātadodbhidadhikaraṇapūrvapakṣāsidhātekimetiranyate.nāmadheyapakṣe24;dijyotiṣṭomapadavācyelakṣaṇāṃtadodbhidadhikaraṇapūrvapakṣātsidhāṃtekimatiriravyate.nāmadheyapakṣe13;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/33.jpg
gyatāvaśādurīkāryaṃtaccanāmaśabdepitvulyaṃ.nāmadheyasyāpidhātvayarthaparichedakatvāt.yaghapyetaptakṣeudbhi;gyatāvaśādurīkāryaṃ.taccanāmaśabdepitulyaṃ.nāmadheyasyāpidhātvarthaparichedakatvāt.yadyapyetaptakṣeudbhidaṃ;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/34.jpg
dhikaraṇasiddhāṃtesupratyayelakṣaṇāpūrvapakṣetuprātipadikaïtyopadyata.tathāpyasaṃjātaviroghiniprātipa;dhikaraṇasiddhāṃtesupratyayelakṣaṇāpūrvapakṣetuprātipadikaïtyāpaghate.tathāpyasaṃjātavirodhiniprātipa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/35.jpg
dikelakṣaṇamapekṣyacaramaśrunavibhaktāvevalakṣaṇāsādhīyasī.ataevaśārāyaṃtapradhānatvāditivā;dikelakṣaṇāmapekṣyacaramaśrutavibhaktāvevalakṣaṇāsādhīyasī.ataevaśākhāyāṃtapradhānatvāditicā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/36.jpg
turthikādhikaraṇeprācīmāharatītyatravṛkṣasyayatkiṃcidvigmavāṃśākhāṃtatraṃdhānatvādiṃtiprācyādiśi;turthikādhikaraṇeprācīmāharatītyatravṛkṣasyayatkiṃciddigbhavāṃśākhāṃtaṃtpraṃdhāṃnaṃtvāṃdiṃtiṃprācyāṃdiśi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/37.jpg
nayatāṃtyarthaevāśritaḥpūrvapak_eṣe.yaghyapitatraivasiddhāṃtebhidhātrīṃprātirpādakaśruṃtimapekṣyaviniyokaccarī;nayatāṃtyarthaevāśritaḥpūrvapakṣe.yadyapitatraivasiddhāṃte'bhidhātrīṃprātipadikaśrutimapekṣyaviniyokrī;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/38.jpg
vibhaktiśrutirbalīyasītyāśrityaprātipadikaevalakṣaṇamāśrityapūrvadigavāśākhānayatītyevārthaḥsa;vibhaktiśrutirbalīyasītyāśrityaprātipadikaevalakṣaṇamāśrityapūrvadigbhavāṃśākhāṃnayatītyevārthaḥsa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/39.jpg
māśritaḥ.yaduktaṃtaṃtrasāre.viniyogapradhānatvādabhidhātryevataṭūśāṃt.yākhyeyānarthikāhisyādviniyo;māśritaḥ.yaduktaṃtaṃtrasāre.viniyogapradhānatvādabhidhātryevatadvaśāt.vyākhyeyānarthikāhisyādviniyo;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/40.jpg
gādatebhidhetyādi.tathāpikaraṇatvasyanāmnosaṃbhavādviniyogaśrutirevehānyathānetavyā.rkaṃcaguṇavi;gādatebhidhetyādi.tathāpikaraṇatvasyanāmnosaṃbhavādviniyogaśrutirevehānyathānetavyā.kiṃcaguṇavi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/41.jpg
dhipakṣeyāganirūpitakaraṇatāvāsvinītṛtīyā.nāmapakṣatuyāganiṣṭhakaraṇatānuvādinī.anuvādai;dhipakṣeyāganirūpapitakaraṇatāvāsvinītṛtīyā.nāmapakṣetuyāganiṣṭhakaraṇatānuvādavinī.anuvāde;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/42.jpg
nvalakṣaṇānadoṣaḥ.naiteḍithādivatsaṃjñāśabdāḥḍithtvajāterekavyaktikatvādidoṣavaśādasiddhāvapi.;calakṣaṇānadoṣaḥ..naiteḍitthādivatsaṃjñāśabdāḥḍitthatvajāterekavyaktikatvādidoṣavaśādasiddhāvapi...;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/43.jpg
trapratyabhyāsaṃbhedenasttatidarśanāt.yatracādhvarakalpāyāṃsarasvatīmājyasyayajetābārhaspatyaścarurityasya;trapratyabhyāsaṃbhedenastutidarśanāt.yatracādhvarakalpāyāṃsarasvatīmājyasyayajetābārhasyatyaścarurityasya;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/44.jpg
trivāraṃśravaṇaṃtatroppattiśiṣṭapūrvāhādikālabhedaśravaṇenaguṇādevabhedaḥyatratvavarjanīyakālabhedamotraṃno;trivāraṃśravaṇaṃ.tatroptattiśiṣṭapūrvāhādikālabhedaśravaṇenaguṇādevabhedaḥ.yatratvavarjanīyakālabhedamātraṃno;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/45.jpg
pattattitriṣṭaḥkālabhedaḥnavārthabhedastādṛśasyasopapadakasyanirupapadakasyavāpunaḥśrutisyāttādaśaraschalekarma;ptattitśiṣṭaḥkālabhedaḥ.navārthabhedastādṛśasyasomapadakasyanirupapadakasyavāpunaḥśrutisyāttādṛśasthalekarma;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/46.jpg
tṇāmāvṛtimevakalyāyatumucitā.anyūranāṃnatiritāṃgasyapunaḥpunaḥkriyamāṇasyaimaïīṣadapidaṣṭaguṇavaila;neṇāmāvṛtimevakalyāyatumucitā.anyūnānatiriktāṃgasyapunaḥpunaḥkriyamāṇasyaimaïīṣadapidaṣṭaguṇavaila;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/47.jpg
kṣaṇyābhāvebhedemānābhāvāt.ataevottaramīmāsāyāṃcaturtheprathamessakṛdupadeśasyāvattisādhanaevahetutva;kṣaṇyābhāvebhedemānābhāvāt.ataevottaramīmāsāyāṃcaturthaprathame'saṃkṛdupadeśasyāvṛttisādhanaevahetutva;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/48.jpg
yogyatābhagavatāvyāsenaivapradarśitā.āvṛttirasakṛdupadeśāditiyatracavākyeṣubhanāmadheyānibhinnāni;yogyatābhagavatāvyāsenaibapradarśitā.āvṛttirasakṛdupadeśāditiyatracavākyeṣunāmadheyānibhinmāni;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/49.jpg
phtit_ānacadhātvarthasyapunaśrutanistādaśaschalaevanānnābhedakatvaṃ.ataevātheṣajyātiratheṣaviśvajyotirathai;nacadhātvarthasyapunaśrutistādṛśasthalaevanāmnāṃbhedakatvaṃ.ataevāthaiṣajyotirathaiṣaviśvajyotirathai;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/50.jpg
ṣasarvajyonirityasyevasaṃjñādhikaraṇedāhavaṇatvenasamidhoyaṃjatītyāderabhyāsādhikaraṇedāharaṇatve;ṣasarvajyotirityasyaivasaṃjñādhikaraṇodāharanaṇatvenasamidhoyajatītyāderabhyāsādhikaraṇodāharaṇatve;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/51.jpg
nacaprācāṃlekhaḥseṃgachate.nacajyotirādivākyatrayaṣyetenasahasradakṣiṇanayajetetyasyānuṣaṃgāvaśyaṃbhāvā;nacaprācāṃlekhaḥsaṃgachate.nacajyotirādivākyatrayepyetenasahasradakṣiṇanayajetetyasyānuṣaṃgāvaśyaṃbhāvā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/52.jpg
dastyevābhyāsaïtivācyaṃanuṣagasyavākyabhedotrakālikattavāt.vakyabhadasidhaścaparasyaravibhanmātha;dastyevābhyāsaïtivācyaṃ|anuṣaṃgasyavākyabhedottarakālikatvāt..vākyabhedasiddheścaparasparavibhinnātha;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/53.jpg
rumukhyaviśeṣyakabodhajanakatvasidhyuttarakālikatvāt.tesyāṃścanāmatobhedasidhisāpekṣatvāt.nacāuṃ0;kamukhyaviśeṣyakabodhajanakatvasidhyuttarakālikatvāt.tasyāścanāmatobhedasidhisāpekṣatvāt.nacānu;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/54.jpg
15ārayavidheyabhāvavyavahārakastaparvatovanhimānatadohaṃsosauyosaumohamityādāvivābhedepij_ānīyaviṣayatāvi;15.śyavidheyabhāvavyavahārastūparvatovanhimānūtadyohaṃsosauyosausohamityādāvivābhedepijñānīyaviṣayatāri;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/55.jpg
śeṣaparatvenopapaghate.napunarthabhāvanābhāvyakaraṇaparatvena.takaṃcartvigampaï.taviśiṣṭavidhyākṣiptaviśeṣaṇavi;śeṣaparatvenopapadyate.napunararthabhāvanābhāvyakaraṇaparatvena.evaṃcartvigabhyaïtiviśiṣṭavidhyākṣiptaviśeṣaṇavi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/56.jpg
kadhinādakṣiṇāṃtvasāmānyasyadānabhāvyakaraṇatāvachedakaspajñātatvādud_eśyatāvachedakatkaṃdvādaśaśatasaṃkhyā;kadhinādakṣiṇāṃtvasāmānyasyadānabhāvyakaraṇatāvachedakasyajñātatvāduddeśyatāvachedakatvaṃ.dvādaśāśatasaṃkhyā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/57.jpg
kagavaṃsamuccitāśvāditvasyatvitaḥpūrvamaj_ātatvādvidheyatāvachedakatvaṃcasaṃgachate.tenacaṃgavāśvādiṣadakṣi;kagavīsamuccitāśvāditvasyatvitaḥpūrvamajñātatvādvidheyatāvachedakatvacasaṃgachate.tenacaṃgavāśvādiṣudakṣi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/58.jpg
ṇātvasyavyāsanyavṛttitvāddhenvadhikaraṇaekayāpidakṣiṇātvaparyāpyadhikaraṇayādhenvāprākṛtasarvadakṣiṇāni;ṇātvasyavyāsanyavṛttitvāddhenvadhikaraṇeekayāpidakṣiṇātvaparyāpyadhikaraṇayādhenvāprākṛtasarvadakṣiṇāni;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/59.jpg
vṛttiḥsādhitāyujyate.gavāśvādidakṣiṇākaraṇakadānabhāvyakavidhiṃtvasvīkāreṇabhāṣyasamarthanatugāvāśvādi;vṛttiḥsādhitāyujyate.gāvāśvādidakṣiṇākaraṇakadānabhāvyakavidhitvasvīkāreṇabhāṣyasamarthanetugavāśvādi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/60.jpg
tvadakṣiṇātvayāḥpāṣṭaṭhikasāmānādhikaraṇyabodhasaṃbhavepyuddeśyavidheyabhāvevinigamanāvirahādavāśvā;tvadakṣiṇāṃtvayāḥpārṣṭhikasāmānādhikaraṇyabodhasaṃbhavepyaddeśayavidheyabhāvevinigamanāvirahādavāśvā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/61.jpg
diṣvapidakṣiṇatvavidhiprasatayātasyapratyekaparyāpattatvāpatyādhenorgomātranivartakatvāpattiḥ.yācadhenvadhika;diṣvapidakṣiṇātvavidhiprasatyātasyapratyekaparyāptatvāpatyādhenorgomātranivartakatvāpattiḥ.yācadhenvadhika;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/62.jpg
raṇedakṣiṇetkaddeśyaṃvāvid_eyaṃvettitadarthaciṃtāpradarśtasāpivirudhyetetikaraṇamātrīptattivavidhiparatvenaiva;raṇedakṣiṇetyuddeśyaṃvāvidheyaṃvetitadarthaciṃtāpradarśyetisāpivirudhyetetikaraṇamātrauptattividhiparatvenaira;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/63.jpg
bhāṣyasamarthanaṃyuktamitinakaroṇebhāṣyayorvaimatyasidhdhiḥ.bhāṣyamatepyṛtvigyaïtyasyevedakṣiṇadānavidhi;bhāṣyasamarthanaṃyuktamitinakaroṇebhāṣyayorvaimatyasiddhiḥ.bhāṣyamatepyṛtvigbhyaïtyasyaivedakṣiṇādānaṃvidhi;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/64.jpg
tvāt.nenetisāmānyavāvakapadamadhyāhtavyaṃiṣṭapadeśath_eṃpadayorbhāvyetikartavyatāsāmānyarāvakayoraśrutā,;tvāt.anenetisāmānyavācakaṃpadamadhyāhartavyaṃiṣṭapadetthaṃpadayorbhāvyetikartavyatāsāmānyavācakayoraśrutata;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/65.jpg
13patatvarthabhedaḥ.bhāvāyāṃstasarvatradhātvartharūpaguṇāduptannatriṣṭoptattiśiṣṭarūpādevabhedaḥ.samidādiṣūdbhida;17..tvarthabhedaḥ.bhāvanāyāṃstusarvatradhātvartharūpaguṇāduptanmaśiṣṭoptattiśiṣṭarūpādevabhedaḥ.samidādiṣadbhidā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/66.jpg
dighucaprathamopasditādabhyāsādbhedasidhyuttaramevanāmadheyatvasedhiritayādiyathāyathaṃvibhāvanīrya..tasmā;diṣucaprathamopasthitādabhyāsādbhedasidhyuttaramevanāmadheyatvasiddhirityādiyathāyathaṃvibhāvanīyaṃ..tesmā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/67.jpg
trāmadheyānāmapisidcaḥprathamabodhebhāvanānvayaḥ..iyāstaviśeṣaḥ|prāthamikabodhāpūrvadbhādipadā=:;nmāmadheyānāmapisiddhaḥprathamabodhebhāvanānvayaḥ..iyāstuviśeṣaḥ..prāthamikabodhātpūrvaüdbhādipadā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/68.jpg
nāṃśaktigrahanāvenodbhiptadavācyapadārthaviśeṣakaraṇi.kābhāvanetibodhaḥ.pratyakṣopaschitesyāpipadasya;nāṃśaktigrahābhāvenodbhitpadavācyapadārthaviśeṣakaraṇikābhāvanetibodhaḥ.pratyakṣopasthitesyāpipadasya;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/69.jpg
śābdabodhebhāganāsaṃbhavāt.sahakārapadārthamajānānasyāpisahakāratavaumadhuraṃpikorautītyādivākya;śābdabodhebhāvanāsaṃbhavāṃt.sahakārapadārthamajānānasyāpisahakārataraumadhuraṃpikorautītyādivākyā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/70.jpg
rchabdabodhānubhavāt.sahakārākhyataruviśeṣekaikilorotīti..nacalakṣaṇayāpunaḥsahakāraśabdasyāpa;rchabdabodhānubhavāt.sahakārākhyataruviśeṣekaikilorautīti..nacalakṣaṇayāpunaḥsahakāraśabdasyopa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/71.jpg
sditiḥsabhavati..ikyopeschiterabhāvetatsaṃbaṃdharūpalakṣaṇayāapibhāpanāsabhavāt..padasādhutva;sthitiḥsaṃbhavati..śākyopesthiterabhāvetatsaṃbaṃdharūpalakṣaṇāyāapibhāvanāsaṃbhavāt..padasādhutva;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/72.jpg
